Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"TipoAreaPerfil.java",1,2,1,0
File,"TipoCompetencia.java",1,2,1,0
File,"TipoExperienciaProfissional.java",1,7,1,0
File,"Unidade.java",1,22,3,1
File,"UnidadeControllerImpl.java",3,32,1,3
File,"UnidadeMapeada.java",1,11,1,1
File,"UnidadeMapeadaControllerImpl.java",2,2,1,1
File,"UnidadeMapeadaRepository.java",0,0,0,0
File,"UnidadeMapeadaService.java",1,3,1,0
File,"UnidadeRepository.java",0,0,0,0
File,"UnidadeService.java",0,0,0,0
File,"UnidadeServiceImpl.java",1,8,3,2
File,"UserDetailsCustom.java",2,2,1,1
File,"Usuario.java",1,29,3,1
File,"UsuarioController.java",0,0,0,0
File,"UsuarioControllerImpl.java",1,1,1,0
File,"UsuarioRepository.java",0,0,0,0
File,"UsuarioService.java",0,0,0,0
File,"UsuarioServiceImpl.java",1,10,1,0
File,"VinculoProfissional.java",1,2,1,0
File,"WebMvcConfigurer.java",1,1,1,0
File,"WebSecurityConfig.java",1,2,1,0
Package,"br",0,0,0,0
Package,"br.ufc",0,0,0,0
Package,"br.ufc.quixada",0,0,0,0
Package,"br.ufc.quixada.npi",0,0,0,0
Package,"br.ufc.quixada.npi.gestaocompetencia",1,3,1,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.GestaoCompetenciaApplication",1,2,1,0
Public Static Method,"br.ufc.quixada.npi.gestaocompetencia.GestaoCompetenciaApplication.main",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.GestaoCompetenciaApplication.passwordEncoder",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.ServletInitializer",1,1,1,0
Protected Method,"br.ufc.quixada.npi.gestaocompetencia.ServletInitializer.configure",,1,,0
Package,"br.ufc.quixada.npi.gestaocompetencia.config",1,50,1,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.CorsFilter",3,3,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.CorsFilter.doFilter",,3,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.JwtConfigurer",1,2,1,0
Public Constructor,"br.ufc.quixada.npi.gestaocompetencia.config.JwtConfigurer.JwtConfigurer",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtConfigurer.configure",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenFilter",2,5,1,3
Public Constructor,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenFilter.JwtTokenFilter",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenFilter.doFilter",,4,,3
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider",1,9,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.createRefreshToken",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.createToken",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.getAuthentication",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.getUsername",,1,,0
Protected Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.init",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.resolveToken",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.JwtTokenProvider.validateToken",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig",2,16,1,2
Public Constructor,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.MinioConfig",,1,,0
Private Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.checkBucketExistence",,1,,0
Private Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.createBucket",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.getPrivateObject",,3,,2
Private Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.initClient",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.removePrivateFile",,3,,2
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.uploadPrivateFile",,3,,2
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioConfig.uploadPublicFile",,3,,2
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties",1,10,1,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.getAccesskey",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.getBucketName",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.getEndpoint",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.getPort",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.getSecretkey",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.setAccesskey",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.setBucketName",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.setEndpoint",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.setPort",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.MinioPorperties.setSecretkey",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.UserDetailsCustom",2,2,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.UserDetailsCustom.loadUserByUsername",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.WebMvcConfigurer",1,1,1,0
Protected Method,"br.ufc.quixada.npi.gestaocompetencia.config.WebMvcConfigurer.addResourceHandlers",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.config.WebSecurityConfig",1,2,1,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.config.WebSecurityConfig.authenticationManagerBean",,1,,0
Protected Method,"br.ufc.quixada.npi.gestaocompetencia.config.WebSecurityConfig.configure",,1,,0
Package,"br.ufc.quixada.npi.gestaocompetencia.controller",0,0,0,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.addAvaliacao",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.addAvaliacaoComportamental",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.deleteAvaliacao",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.find",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.findAll",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.findLast",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.getAllAvaliacaoByUserAndUnidade",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.getAvaliacaoByTipoAvaliacaoAndUsuario",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.AvaliacaoController.putAtualizacaoComportamental",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.consolidarComportamentos",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.delete",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.desconsolidarComportamento",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.findByCategoria",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.findById",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.findByMapeamento",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.getStatus",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.restaurarComportamento",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.save",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ComportamentoController.update",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.CursoCapacitacaoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.CursoCapacitacaoController.create",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.CursoCapacitacaoController.delete",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.CursoCapacitacaoController.findAll",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.CursoCapacitacaoController.update",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.DesempenhoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DesempenhoController.getAvaliacoes",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DesempenhoController.getAvaliacoesServidores",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.create",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.delete",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.find",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.findAll",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.findByUsuario",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.findLastUser",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.findSecondaryUser",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.update",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.DiagnosticoController.verifySecondaryAccess",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.FormacaoAcademicaController",0,0,0,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController.delete",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController.filterItemAvaliacao",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController.find",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController.findAllByAvaliacao",,0,,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.ItemAvaliacaoController.update",,0,,0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.controller.UsuarioController",0,0,0,0
Abstract Method,"br.ufc.quixada.npi.gestaocompetencia.controller.UsuarioController.find",,0,,0
Package,"br.ufc.quixada.npi.gestaocompetencia.controller.impl",2,421,5,5
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl",1,8,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl.create",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl.delete",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl.find",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl.findAll",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaCapacitacaoControllerImpl.update",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl",1,9,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl.create",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl.delete",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl.find",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl.findAll",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AreaPerfilControllerImpl.update",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ArquivoController",2,2,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ArquivoController.find",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl",1,9,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.getPermissoes",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.getUnidadeLotacao",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.hasSubchefia",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.isChefia",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.isComissao",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.isViceChefia",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthControllerImpl.signin",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest",1,7,1,0
Public Constructor,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.AuthenticationRequest",,1,,0
Public Constructor,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.AuthenticationRequest",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.getEmail",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.getPassword",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.getUsername",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.setEmail",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AuthenticationRequest.setPassword",,1,,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl",2,40,1,3
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.addAvaliacao",,6,,2
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.addAvaliacaoComportamental",,4,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.avaliar",,4,,2
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.deleteAvaliacao",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.find",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.find",,9,,3
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.findAll",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.findItens",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.findWithJustificativas",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.getAllAvaliacaoByUserAndUnidade",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.getAvaliacaoByTipoAvaliacaoAndUsuario",,1,,0
Private Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.hasNoAvaliacoes",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.justificarAvaliacao",,3,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.putAtualizacaoComportamental",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvaliacaoControllerImpl.removerJustificativa",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.AvalicaoComportamentalImpl",0,0,0,0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.CompetenciaControllerImpl",1,5,1,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.CompetenciaControllerImpl.getCompetenciasComportamentais",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.CompetenciaControllerImpl.getCompetenciasResponsabilidade",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.CompetenciaControllerImpl.getCompetenciasTecnicas",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.CompetenciaControllerImpl.save",,2,,1
Public Class,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl",3,61,1,2
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.consolidarComportamentos",,7,,2
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.consolidarComportamentos.(for_loop_1).(lambda_expr_1)",,1,,0
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.consolidarComportamentos.(for_loop_1).(lambda_expr_2)",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.delete",,7,,1
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.delete.(lambda_expr_1)",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.desconsolidarComportamento",,5,,1
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.desconsolidarComportamento.(lambda_expr_1)",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.excluirComportamentos",,3,,1
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.excluirComportamentos.(lambda_expr_1)",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.findByCategoria",,3,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.findByDiagnostico",,2,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.findById",,3,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.findByMapeamento",,2,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.getStatus",,2,,1
Private Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.pertenceMapeamento",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.restaurarComportamento",,4,,1
Lambda Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.restaurarComportamento.(lambda_expr_1)",,1,,0
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.save",,4,,1
Public Method,"br.ufc.quixada.npi.gestaocompetencia.controller.impl.ComportamentoControllerImpl.update",,11,,2
